data,valor
2022-01-05,187.7
2022-01-12,188.4
2022-01-19,187.56
2022-01-26,184.26
2022-02-02,184.73
2022-02-09,186.88
2022-02-16,185.66
2022-02-23,183.63
2022-03-01,185.17
2022-03-09,183.64
2022-03-16,191.58
2022-03-23,192.28
2022-03-30,193.63
2022-04-06,194.92
2022-04-13,201.68
2022-04-20,200.79
2022-04-27,202.94
2022-05-04,205.99
2022-05-11,207.21
2022-05-18,205.26
2022-05-25,204.91
2022-06-01,205.98
2022-06-08,201.29
2022-06-15,203.2
2022-06-22,201.98
2022-06-29,203.72
2022-07-06,206.79
2022-07-13,204.79
2022-07-20,205.54
2022-07-27,205.29
2022-08-03,207.33
2022-08-10,211.24
2022-08-17,206.77
2022-08-24,209.81
2022-08-31,206.39
2022-09-07,206.35
2022-09-14,209.01
2022-09-21,207.8
2022-09-28,210.43
2022-10-05,210.83
2022-10-12,210.51
2022-10-19,214.3
2022-10-26,210.82
2022-11-02,210.85
2022-11-09,209.48
2022-11-16,209.98
2022-11-23,212.76
2022-11-30,219.22
2022-12-07,219.07
2022-12-14,218.87
2022-12-21,218.94
2022-12-28,217.14
2023-01-04,219.4
2023-01-11,224.95
2023-01-18,224.67
2023-01-25,218.91
2023-02-01,222.16
2023-02-08,224.92
2023-02-15,228.66
2023-02-22,226.6
2023-03-01,230.38
2023-03-08,230.76
2023-03-15,234.84
2023-03-22,226.15
2023-03-29,225.99
2023-04-05,226.98
2023-04-12,226.42
2023-04-19,222.95
2023-04-26,222.78
2023-05-03,222.62
2023-05-10,222.86
2023-05-17,219.7
2023-05-24,220.09
2023-05-31,217.6
2023-06-07,222.06
2023-06-14,218.79
2023-06-21,219.32
2023-06-28,216.5
2023-07-05,214.07
2023-07-12,212.77
2023-07-19,216.86
2023-07-26,215.24
2023-08-02,212.09
2023-08-09,211.94
2023-08-16,211.24
2023-08-23,213.39
2023-08-30,213.63
2023-09-06,211.33
2023-09-13,215.75
2023-09-20,216.02
2023-09-27,217.87
2023-10-04,217.01
2023-10-11,220.54
2023-10-18,220.73
2023-10-25,222.12
2023-11-01,224.86
2023-11-08,228.09
2023-11-15,230.42
2023-11-22,231.7
2023-11-29,225.58
2023-12-06,228.93
2023-12-13,229.63
2023-12-20,231.15
2023-12-27,230.17
2024-01-03,236.04
2024-01-10,243.79
2024-01-17,240.99
2024-01-24,235.88
2024-01-31,240.69
2024-02-07,237.98
2024-02-14,236.6
2024-02-21,238.49
2024-02-28,238.13
2024-03-06,233.46
2024-03-13,237.59
2024-03-20,238.36
2024-03-27,231.94
2024-04-03,237.8
2024-04-10,237.96
2024-04-17,236.9
2024-04-24,235.65
2024-05-01,235.19
2024-05-08,237.76
2024-05-15,234.91
2024-05-22,234.71
2024-05-29,231.78
2024-06-05,235.06
2024-06-12,235.22
2024-06-19,232.72
2024-06-26,227.73
2024-07-03,228.47
2024-07-10,228.11
2024-07-17,228.06
2024-07-24,227.09
2024-07-31,225.21
2024-08-07,227.34
2024-08-14,223.82
2024-08-21,226.45
2024-08-28,224.63
2024-09-04,225.11
2024-09-11,227.6
2024-09-18,227.3
2024-09-25,228.25
2024-10-02,226.97
2024-10-09,227.97
2024-10-16,228.6
2024-10-23,235.44
2024-10-30,236.4
2024-11-06,233.58
2024-11-13,234.93
2024-11-20,236.09
2024-11-27,233.04
2024-12-04,233.2
2024-12-11,235.76
2024-12-18,234.64
2024-12-25,233.61
2025-01-01,236.17
2025-01-08,239.14
2025-01-15,240.08
2025-01-22,241.85
2025-01-29,238.79
2025-02-05,241.4
2025-02-12,241.39
2025-02-19,235.66
2025-02-26,236.51
2025-03-05,238.0
2025-03-12,235.74
2025-03-19,236.95
2025-03-26,236.94
2025-04-02,238.5
2025-04-09,238.16
2025-04-16,236.87
2025-04-23,238.73
2025-04-30,239.42
2025-05-07,238.95
2025-05-14,239.72
2025-05-21,238.45
2025-05-28,239.27
2025-06-04,239.35
2025-06-11,240.78
2025-06-18,242.78
2025-06-25,238.93
2025-07-02,239.38
2025-07-09,240.12
2025-07-16,245.79
2025-07-23,239.95
2025-07-30,239.65
2025-08-06,240.65
2025-08-13,244.3
2025-08-20,241.3
2025-08-27,241.17
2025-09-03,240.56
2025-09-10,240.65
2025-09-17,240.38
2025-09-24,242.45
2025-10-01,241.97
2025-10-08,242.14
2025-10-15,241.76
2025-10-22,242.24
2025-10-29,243.68
2025-11-05,244.34
2025-11-12,244.95
2025-11-19,243.52
2025-11-26,243.65
2025-12-03,245.15
2025-12-10,244.69
2025-12-17,246.89
2025-12-24,242.3
2025-12-31,244.09
2026-01-07,241.83
2026-01-14,249.09
2026-01-21,251.49
2026-01-28,249.02
2026-02-04,253.09
2026-02-11,253.43
2026-02-18,253.27
2026-02-25,253.19
2026-03-04,251.76
2026-03-11,254.12
2026-03-18,254.32
2026-03-25,254.4
2026-04-01,254.99
2026-04-08,257.95
2026-04-15,259.52
2026-04-22,260.89
2026-04-29,258.52
2026-05-06,261.89
2026-05-13,260.41
2026-05-20,258.83
2026-05-27,257.33
2026-06-03,259.31
2026-06-10,255.57
2026-06-17,257.68
2026-06-24,256.81
2026-07-01,253.63
2026-07-08,256.71
2026-07-15,256.46
2026-07-22,251.29
2026-07-29,253.47
2026-08-05,253.6
2026-08-12,252.07
2026-08-19,253.55
