tabela,produto,preco_atual,unidade_preco,aumento_valor,aumento_pct
semanal,Massa em espirais,1.35,€,,22.0
semanal,Esparguete,1.18,€,,21.0
semanal,Pão de forma sem côdea,2.5,€,,14.0
semanal,Iogurte líquido,2.16,€,,9.0
semanal,Cereais de fibra,4.76,€,,9.0
semanal,Batata-vermelha,,,,9.0
semanal,Cenoura,,,,7.0
semanal,Alface frisada,,,,7.0
semanal,Salmão,,,,6.0
semanal,Couve-flor,,,,6.0
desde_janeiro,Arroz carolino,1.79,€,,30.0
desde_janeiro,Couve-coração,,,,27.0
desde_janeiro,Dourada,,,,27.0
desde_janeiro,Esparguete,1.18,€,,25.0
desde_janeiro,Peixe-espada-preto,,,,24.0
desde_janeiro,Robalo,,,,18.0
desde_janeiro,Bacalhau graúdo,,,,17.0
desde_janeiro,Massa em espirais,1.35,€,,14.0
desde_janeiro,Cebola,,,,13.0
desde_janeiro,Carne de novilho para cozer,,,,11.0
desde_2022,Carne de novilho para cozer,,,,120.0
desde_2022,Bacalhau graúdo,,,,89.0
desde_2022,Couve-coração,,,,88.0
desde_2022,Ovos,2.07,€,,82.0
desde_2022,Bife de peru,,,,71.0
desde_2022,Peixe-espada-preto,,,,67.0
desde_2022,Café torrado moído,4.8,€,,60.0
desde_2022,Cebola,,,,59.0
desde_2022,Laranja,,,,59.0
desde_2022,Arroz carolino,1.79,€,,57.0
