setor,produto,produto_id,serie_id,fase,unidade,periodo,inicio,preco
alface,Alface,1031,1031,consumo,€/kg,1,2022-01-03,2.11
alface,Alface,1031,1031,consumo,€/kg,2,2022-01-31,1.91
alface,Alface,1031,1031,consumo,€/kg,3,2022-02-28,2.0
alface,Alface,1031,1031,consumo,€/kg,4,2022-03-28,1.94
alface,Alface,1031,1031,consumo,€/kg,5,2022-04-25,1.89
alface,Alface,1031,1031,consumo,€/kg,6,2022-05-23,1.8
alface,Alface,1031,1031,consumo,€/kg,7,2022-06-20,1.95
alface,Alface,1031,1031,consumo,€/kg,8,2022-07-18,2.3
alface,Alface,1031,1031,consumo,€/kg,9,2022-08-15,2.31
alface,Alface,1031,1031,consumo,€/kg,10,2022-09-12,2.3
alface,Alface,1031,1031,consumo,€/kg,11,2022-10-10,2.36
alface,Alface,1031,1031,consumo,€/kg,12,2022-11-07,2.32
alface,Alface,1031,1031,consumo,€/kg,13,2022-12-05,2.72
alface,Alface,1031,1031,consumo,€/kg,1,2023-01-02,2.79
alface,Alface,1031,1031,consumo,€/kg,2,2023-01-30,3.16
alface,Alface,1031,1031,consumo,€/kg,3,2023-02-27,2.75
alface,Alface,1031,1031,consumo,€/kg,4,2023-03-27,2.23
alface,Alface,1031,1031,consumo,€/kg,5,2023-04-24,1.83
alface,Alface,1031,1031,consumo,€/kg,6,2023-05-22,2.09
alface,Alface,1031,1031,consumo,€/kg,7,2023-06-19,2.03
alface,Alface,1031,1031,consumo,€/kg,8,2023-07-17,1.99
alface,Alface,1031,1031,consumo,€/kg,9,2023-08-14,2.13
alface,Alface,1031,1031,consumo,€/kg,10,2023-09-11,2.09
alface,Alface,1031,1031,consumo,€/kg,11,2023-10-09,2.29
alface,Alface,1031,1031,consumo,€/kg,12,2023-11-06,2.63
alface,Alface,1031,1031,consumo,€/kg,13,2023-12-04,2.97
alface,Alface,1031,1031,consumo,€/kg,1,2024-01-01,3.01
alface,Alface,1031,1031,consumo,€/kg,2,2024-01-29,2.67
alface,Alface,1031,1031,consumo,€/kg,3,2024-02-26,2.3
alface,Alface,1031,1031,consumo,€/kg,4,2024-03-25,2.47
alface,Alface,1031,1031,consumo,€/kg,5,2024-04-22,2.83
alface,Alface,1031,1031,consumo,€/kg,6,2024-05-20,2.28
alface,Alface,1031,1031,consumo,€/kg,7,2024-06-17,2.27
alface,Alface,1031,1031,consumo,€/kg,8,2024-07-15,2.25
alface,Alface,1031,1031,consumo,€/kg,9,2024-08-12,2.24
